AccountID,SafeName,FolderName,Name,UserName,Address,PlatformID,CreationMethod,Disabled,LastPasswordChange,LastPasswordReconcile,PasswordChangeInProcess,ManualManagementReason,ExclusiveManagement,CPMStatus,LastTask,LastTaskStatus,AutomaticManagement,PolicyID,CPMName,DaysFromLastChange,DaysUntilExpiration,Status
1020,Legacy,Root,Legacy02-admin,admin,legacy02.company.com,AS400,Regular,False,2023-11-10T15:35:45,2024-03-20T10:15:30,False,"Manual rotation required",False,Failure,Reconcile,Failure,False,LegacyPolicy,PasswordManager,139,-109,Expired
1021,Testing,AdminAccounts,Test01-admin,admin,test01.company.com,WinServerLocal,Regular,False,2024-03-20T09:25:15,2024-03-28T09:30:10,False,,True,Success,Change,Success,True,TestPolicy,PasswordManager,8,22,OK
1022,Testing,ServiceAccounts,Test-service,svc_test,test01.company.com,WinServerLocal,Regular,False,2024-03-22T10:30:25,2024-03-28T10:15:20,False,,True,Success,Change,Success,True,TestPolicy,PasswordManager,6,24,OK
1023,Monitoring,Root,Monitor01-admin,admin,monitor01.company.com,WinServerLocal,Regular,False,2024-03-14T11:45:35,2024-03-25T11:10:30,False,,True,Success,Change,Success,True,MonitorPolicy,PasswordManager,14,16,OK
1024,Monitoring,Services,Monitor-service,svc_mon,monitor01.company.com,WinServerLocal,Regular,False,2024-03-16T12:40:45,2024-03-26T12:15:40,False,,True,Success,Change,Success,True,MonitorPolicy,PasswordManager,12,18,OK
1025,API-Users,Root,API01-user,api_user,api01.company.com,WinServerLocal,Regular,False,2024-03-08T13:20:55,2024-03-20T13:25:50,False,,True,Success,Change,Success,True,APIPolicy,PasswordManager,20,10,OK
1026,API-Users,Root,API02-user,api_user,api02.company.com,WinServerLocal,Regular,False,2024-03-10T14:15:10,2024-03-22T14:30:05,False,,True,Success,Change,Success,True,APIPolicy,PasswordManager,18,12,OK
1027,Middleware,Root,Mid01-admin,admin,mid01.company.com,WinServerLocal,Regular,False,2024-03-12T15:30:20,2024-03-24T15:35:15,False,,True,Success,Change,Success,True,MiddlewarePolicy,PasswordManager,16,14,OK
1028,Middleware,Services,Mid-service,svc_mid,mid01.company.com,WinServerLocal,Regular,False,2024-03-14T16:25:30,2024-03-25T16:40:25,False,,True,Success,Change,Success,True,MiddlewarePolicy,PasswordManager,14,16,OK
1029,Disaster-Recovery,Root,DR01-admin,admin,dr01.company.com,WinServerLocal,Regular,False,2024-03-01T17:40:40,2024-03-15T17:45:35,False,,True,Success,Change,Success,True,DRPolicy,DR_PasswordManager,27,3,Warning
1030,Disaster-Recovery,Services,DR-service,svc_dr,dr01.company.com,WinServerLocal,Regular,False,2024-03-05T18:35:50,2024-03-18T18:50:45,False,,True,Success,Change,Success,True,DRPolicy,DR_PasswordManager,23,7,Warning 
